#uwb_timestamp  uwb_distance imu_timestamp imu_yaw
1616395208.976 15.26 1616395208.978891 0.04886921904666666
1616395209.076 15.26 1616395209.06913 0.02164208272066667
1616395209.18 15.29 1616395209.173989 -0.01117010721066667
1616395209.278 15.27 1616395209.278301 -0.046076692244
1616395209.677 15.29 1616395209.684038 -0.1930334152343333
1616395209.977 0 1616395209.978505 -0.1729621288401667
1616395210.07 15.32 1616395210.074689 -0.1274090353716666
1616395210.178 15.38 1616395210.184146 -0.07958701387600001
1616395210.278 15.35 1616395210.279739 -0.06928957129116667
1616395210.376 15.4 1616395210.374456 -0.04642575809433333
1616395210.478 15.44 1616395210.470478 -0.02007128639416667
1616395210.576 15.54 1616395210.580411 0.013613568163
1616395210.676 15.46 1616395210.675184 0.04153883618966667
1616395210.776 15.53 1616395210.783413 0.06370451768583332
1616395210.876 15.55 1616395210.87538 0.08936085768533333
1616395210.976 15.56 1616395210.983226 0.1520181778201667
1616395211.368 15.75 1616395211.366411 0.3412118687008334
1616395211.868 15.75 1616395211.872436 0.2412045025803334
1616395211.976 15.76 1616395211.968543 0.06946410421633334
1616395212.076 15.73 1616395212.076162 -0.08412486993033334
1616395212.276 15.75 1616395212.275328 -0.3001966312866667
1616395212.379 15.76 1616395212.380615 -0.3825761719653333
1616395212.478 15.78 1616395212.471313 -0.426209403257
1616395212.578 15.79 1616395212.580494 -0.4089306436655
1616395212.678 15.77 1616395212.676586 -0.3649483465235
1616395212.778 15.79 1616395212.772731 -0.3145083311503333
1616395212.879 15.81 1616395212.882079 -0.2907718533276667
1616395212.976 15.86 1616395212.97512 -0.3010692959125
1616395213.08 15.91 1616395213.085309 -0.2905973204025
1616395213.18 15.89 1616395213.175186 -0.292168116729
1616395213.577 16.09 1616395213.57267 -0.313112067749
1616395213.776 16.19 1616395213.780553 -0.250280214689
1616395213.879 16.21 1616395213.876208 -0.2045525882953333
1616395213.978 16.32 1616395213.972614 -0.13613568163
1616395214.078 16.24 1616395214.082463 -0.12566370612
1616395214.178 0 1616395214.176253 -0.08901179183500001
1616395214.27 0 1616395214.272421 -0.0476474885705
1616395214.463 0 1616395214.461215 0.008726646258333333
1616395214.57 0 1616395214.57217 0.0644026493865
1616395215.369 0 1616395215.368246 0.04939281782216667
1616395215.476 0 1616395215.476143 -0.1209513171405
1616395215.576 0 1616395215.583804 -0.3155555287013333
